year,territory,territory_order,territory_type,occupancy_status,num_housing_units
2021,Hostafrancs,15,Neighbourhood,Not main,1374.0
2021,el Clot,65,Neighbourhood,Not main,1794.0
2021,Eixample,2,District,Not main,29304.0
2021,el Turó de la Peira,46,Neighbourhood,Main,6507.0
2021,la Clota,42,Neighbourhood,Not main,72.0
2021,el Baix Guinardó,33,Neighbourhood,Not main,1416.0
2021,Sants - Badal,17,Neighbourhood,Main,10338.0
2021,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Not main,996.0
2021,Porta,45,Neighbourhood,Not main,1212.0
2021,la Font de la Guatlla,14,Neighbourhood,Main,4320.0
2021,la Font de la Guatlla,14,Neighbourhood,Not main,705.0
2021,la Bordeta,16,Neighbourhood,Main,7992.0
2021,Eixample,2,District,Main,113583.0
2021,Sant Gervasi - Galvany,26,Neighbourhood,Not main,5919.0
2021,Sant Gervasi - la Bonanova,25,Neighbourhood,Not main,2220.0
2021,l'Antiga Esquerra de l'Eixample,8,Neighbourhood,Not main,5805.0
2021,Vallcarca i els Penitents,28,Neighbourhood,Not main,1575.0
2021,Vilapicina i la Torre Llobeta,44,Neighbourhood,Main,10767.0
2021,Vallbona,56,Neighbourhood,Not main,153.0
2021,les Corts,19,Neighbourhood,Not main,4650.0
2021,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Not main,3159.0
2021,el Baix Guinardó,33,Neighbourhood,Main,10980.0
2021,Horta,43,Neighbourhood,Not main,1764.0
2021,el Coll,29,Neighbourhood,Not main,570.0
2021,el Camp de l'Arpa del Clot,64,Neighbourhood,Not main,2937.0
2021,Sant Martí,10,District,Not main,16389.0
2021,la Barceloneta,3,Neighbourhood,Main,6843.0
2021,Sant Gervasi - Galvany,26,Neighbourhood,Main,18762.0
2021,Pedralbes,21,Neighbourhood,Main,4263.0
2021,Sarrià,23,Neighbourhood,Not main,2592.0
2021,Vilapicina i la Torre Llobeta,44,Neighbourhood,Not main,1200.0
2021,la Bordeta,16,Neighbourhood,Not main,1050.0
2021,la Sagrera,61,Neighbourhood,Main,12195.0
2021,la Trinitat Vella,57,Neighbourhood,Not main,276.0
2021,la Marina del Prat Vermell,12,Neighbourhood,Main,543.0
2021,el Bon Pastor,59,Neighbourhood,Not main,879.0
2021,Sant Antoni,10,Neighbourhood,Main,16497.0
