district_code,longitude,staircase,number_type,building_entrance,street_type,street_number_start,street_number_end,district_name,neighbourhood_name,generalitat_register_number,floor,door,letter2,number_of_places,expedient_number,letter1,latitude,block,street_name,neighbourhood_code,id
02,"2,16281630673147",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-036806,02,2,,4,02-2013-0332,,"41,3770766229269",,COMTE BORRELL,10,2834
02,"2,16281630673147",,1,,Carrer,41,,L'EIXAMPLE,Sant Antoni,HUTB-005312,03,2,,4,02-2013-0333,,"41,3770766229269",,COMTE BORRELL,10,2835
02,"2,15430796733634",,2,B,Carrer,144,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005313,3,2,,2,02-2013-0336,,"41,3888995486184",,CASANOVA,08,2836
02,"2,16153972234149",D,2,,Carrer,28,,L'EIXAMPLE,Sant Antoni,HUTB-005315,PR,2,,5,02-2013-0342,,"41,3817384839057",,VILLARROEL,10,2837
02,"2,17669614893963",,2,,Passatge,10,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005316,EN,4,,5,02-2013-0344,,"41,3968368001396",,BOCABELLA,07,2838
02,"2,15912395658817",,1,,Carrer,51,,L'EIXAMPLE,Sant Antoni,HUTB-005335,SA,,,4,02-2013-0351,B,"41,3815162858183",,COMTE D'URGELL,10,2839
02,"2,18399883228121",,2,,Gran Via,816,,L'EIXAMPLE,el Fort Pienc,HUTB-005340,01,2,,9,02-2013-0352,,"41,4008998606776",,CORTS CATALANES,05,2840
02,"2,1670461816357",,2,,Carrer,126,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005342,05,2,,12,02-2013-0364,,"41,3929181443454",,PAU CLARIS,07,2841
02,"2,1670461816357",,2,,Carrer,126,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005341,02,2,,10,02-2013-0365,,"41,3929181443454",,PAU CLARIS,07,2842
02,"2,15500243355612",,2,,Gran Via,460,,L'EIXAMPLE,Sant Antoni,HUTB-005336,03,1A,,5,02-2013-0366,,"41,3791177286465",,CORTS CATALANES,10,2843
02,"2,14409313741476",,2,,Carrer,246,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005322,05,1,,6,02-2013-0369,,"41,3863803186978",,ROCAFORT,09,2844
02,"2,1841316842899",,1,,Carrer,149,,L'EIXAMPLE,el Fort Pienc,HUTB-005352,04,4,,7,02-2013-0370,,"41,3986347151276",,LEPANT,05,2845
02,"2,1563460426571",,1,,Carrer,91,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005324,01,1,,4,02-2013-0374,,"41,3836089977037",,COMTE D'URGELL,09,2846
02,"2,14454438575661",,2,,Carrer,74,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-008993,EN,1,,3,02-2013-0375,,"41,3852299571291",,CORSEGA,09,2847
02,"2,18163853330599",,2,,Carrer,174,,L'EIXAMPLE,el Fort Pienc,HUTB-005343,SA,2,,4,02-2013-0377,,"41,3974342710333",,CASP,05,2848
02,"2,15411877838232",,1,,Carrer,151,,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005331,02,1,,4,02-2013-0380,,"41,3825077631956",,CONSELL DE CENT,09,2849
02,"2,15449520200244",A,1,,Carrer,45,,L'EIXAMPLE,Sant Antoni,HUTB-005330,4,2,,6,02-2013-0381,,"41,3773164530124",,SEPULVEDA,10,2850
02,"2,16990201359024",,1,,Carrer,69,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005432,03,2,,14,02-2013-0390,,"41,3938949381289",,BRUC,07,2851
02,"2,15965583674717",,1,,Gran Via,539,,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,HUTB-005353,3,3,,5,02-2013-0391,,"41,3833029748136",,CORTS CATALANES,08,2852
02,"2,16496210924648",,2,,Rambla,42,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005389,02,2A,,9,02-2013-0394,,"41,3901655863461",,CATALUNYA,07,2853
02,"2,16496210924648",,2,,Rambla,42,,L'EIXAMPLE,la Dreta de l'Eixample,HUTB-005433,02,2B,,14,02-2013-0395,,"41,3901655863461",,CATALUNYA,07,2854
02,"2,15180756340353",,1,,Gran Via,407,409,L'EIXAMPLE,la Nova Esquerra de l'Eixample,HUTB-005339,1,2,,8,02-2013-0398,,"41,3773742010703",,CORTS CATALANES,09,2855
