territory,territory_order,territory_type,average_rent_price,year_quarter
Nou Barris,8,District,730.362532385989,2022Q1
el Parc i la Llacuna del Poblenou,66,Neighbourhood,1089.18336448598,2022Q1
la Barceloneta,3,Neighbourhood,944.025571847507,2022Q1
la Font de la Guatlla,14,Neighbourhood,823.871060606061,2022Q1
Verdun,51,Neighbourhood,645.253308823529,2022Q1
Sants,18,Neighbourhood,906.892289416847,2022Q1
Vallcarca i els Penitents,28,Neighbourhood,947.759421487603,2022Q1
Sant Martí,10,District,1000.15642869891,2022Q1
Horta,43,Neighbourhood,801.775391156463,2022Q1
la Vila de Gràcia,31,Neighbourhood,985.964948301329,2022Q1
Sant Antoni,10,Neighbourhood,1037.98470198675,2022Q1
Catalunya,-1,Autonomous Community,779.835015205865,2022Q1
la Vila Olímpica del Poblenou,67,Neighbourhood,1305.04435483871,2022Q1
Vallbona,56,Neighbourhood,616.18,2022Q1
Canyelles,49,Neighbourhood,803.39775,2022Q1
Les Corts,4,District,1185.7084013127,2022Q1
la Verneda i la Pau,73,Neighbourhood,931.416510416666,2022Q1
Vilapicina i la Torre Llobeta,44,Neighbourhood,767.027401574803,2022Q1
la Trinitat Nova,53,Neighbourhood,591.012916666667,2022Q1
el Clot,65,Neighbourhood,904.062315608919,2022Q1
la Sagrada Família,6,Neighbourhood,984.300824524313,2022Q1
Provençals del Poblenou,71,Neighbourhood,939.188130841122,2022Q1
la Teixonera,38,Neighbourhood,723.878,2022Q1
Canyelles,49,Neighbourhood,655.028,2022Q1
el Poblenou,68,Neighbourhood,1079.90654244306,2022Q1
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,846.210217391304,2022Q1
la Sagrera,61,Neighbourhood,751.473269230769,2022Q1
Ciutat Meridiana,55,Neighbourhood,563.883942307692,2022Q1
la Marina de Port,13,Neighbourhood,728.694957264957,2022Q1
Sant Gervasi - Galvany,26,Neighbourhood,1487.73495076586,2022Q1
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1247.49667808219,2022Q1
Canyelles,49,Neighbourhood,851.259285714286,2022Q2
la Trinitat Vella,57,Neighbourhood,620.001428571429,2022Q2
Eixample,2,District,1103.33592824364,2022Q2
el Bon Pastor,59,Neighbourhood,732.627777777778,2022Q2
Sarrià-Sant Gervasi,5,District,1362.36682514102,2022Q2
Ciutat Meridiana,55,Neighbourhood,577.32,2022Q2
Sant Gervasi - Galvany,26,Neighbourhood,1484.51259259259,2022Q2
el Raval,1,Neighbourhood,871.97129113924,2022Q2
la Marina de Port,13,Neighbourhood,638.768148148148,2022Q2
la Prosperitat,52,Neighbourhood,693.318888888889,2022Q2
la Teixonera,38,Neighbourhood,786.541538461538,2022Q2
la Marina del Prat Vermell - AEI Zona Franca,12,Neighbourhood,1407.9375,2022Q2
Vallcarca i els Penitents,28,Neighbourhood,969.336230769231,2022Q2
Sants - Badal,17,Neighbourhood,848.503082191781,2022Q2
Horta-Guinardó,7,District,804.801855983773,2022Q2
la Vila Olímpica del Poblenou,67,Neighbourhood,1442.563,2022Q2
el Besòs i el Maresme,70,Neighbourhood,779.2242,2022Q2
el Coll,29,Neighbourhood,759.223913043478,2022Q2
Navas,63,Neighbourhood,878.353865546218,2022Q2
el Turó de la Peira,46,Neighbourhood,709.77625,2022Q2
Hostafrancs,15,Neighbourhood,826.196785714286,2022Q2
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1238.71261538462,2022Q2
la Trinitat Nova,53,Neighbourhood,574.8903125,2022Q2
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,879.293358208955,2022Q2
el Camp de l'Arpa del Clot,64,Neighbourhood,875.115196078431,2022Q2
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,1051.43180769231,2022Q2
Sant Antoni,10,Neighbourhood,1004.2698,2022Q2
la Verneda i la Pau,73,Neighbourhood,757.021881188119,2022Q2
la Sagrada Família,6,Neighbourhood,985.912609756097,2022Q2
la Font de la Guatlla,14,Neighbourhood,912.132075471698,2022Q2
el Baix Guinardó,33,Neighbourhood,903.865988700565,2022Q2
Catalunya,-1,Autonomous Community,759.911933957974,2022Q2
la Vila de Gràcia,31,Neighbourhood,982.635555555556,2022Q2
Provençals del Poblenou,71,Neighbourhood,1032.88285714286,2022Q2
la Vall d'Hebron,41,Neighbourhood,865.346666666667,2022Q2
Porta,45,Neighbourhood,728.525378787879,2022Q2
Barcelona,-1,Municipality,996.555661365025,2022Q2
el Fort Pienc,5,Neighbourhood,1106.91896678967,2022Q2
Sants-Montjuïc,3,District,883.551387931035,2022Q2
Nou Barris,8,District,714.002879332478,2022Q2
la Guineueta,48,Neighbourhood,748.821835820896,2022Q2
les Roquetes,50,Neighbourhood,632.913043478261,2022Q2
el Barri Gòtic,2,Neighbourhood,1062.51724299065,2022Q2
Verdun,51,Neighbourhood,608.984659090909,2022Q2
Sant Andreu,9,District,794.570128205128,2022Q2
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1174.59874125874,2022Q2
Sant Andreu,60,Neighbourhood,788.185985130111,2022Q2
el Clot,65,Neighbourhood,883.956953642384,2022Q2
Horta,43,Neighbourhood,794.201875,2022Q2
Gràcia,6,District,973.168842105263,2022Q2
la Maternitat i Sant Ramon,20,Neighbourhood,993.05427480916,2022Q2
Can Baró,34,Neighbourhood,812.384468085106,2022Q2
el Parc i la Llacuna del Poblenou,66,Neighbourhood,1173.24118110236,2022Q2
Pedralbes,21,Neighbourhood,1944.51304347826,2022Q2
Les Corts,4,District,1133.73213822894,2022Q2
Metropolità de Barcelona,-1,Functional Territorial Area,864.856689975474,2022Q2
Sant Gervasi - la Bonanova,25,Neighbourhood,1369.07718446602,2022Q2
el Carmel,37,Neighbourhood,725.805316455696,2022Q2
la Dreta de l'Eixample,7,Neighbourhood,1328.58842592593,2022Q2
el Guinardó,35,Neighbourhood,809.985984555985,2022Q2
les Corts,19,Neighbourhood,1067.76318181818,2022Q2
Montbau,40,Neighbourhood,750.717777777778,2022Q2
el Putxet i el Farró,27,Neighbourhood,1108.60678456592,2022Q2
Ciutat Vella,1,District,966.237586568731,2022Q2
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,894.907931034483,2022Q2
la Font d'en Fargues,36,Neighbourhood,840.094285714286,2022Q2
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,977.784912280702,2022Q2
Sant Martí de Provençals,72,Neighbourhood,843.04547008547,2022Q2
Vilapicina i la Torre Llobeta,44,Neighbourhood,855.531901408451,2022Q2
la Salut,30,Neighbourhood,1010.255,2022Q2
Sant Martí,10,District,968.014392803598,2022Q2
la Sagrera,61,Neighbourhood,803.528301886792,2022Q2
el Poblenou,68,Neighbourhood,1085.62231441048,2022Q2
la Nova Esquerra de l'Eixample,9,Neighbourhood,1012.17726732673,2022Q2
Sants,18,Neighbourhood,885.550033557047,2022Q2
les Tres Torres,24,Neighbourhood,1766.9825,2022Q2
Sarrià,23,Neighbourhood,1349.26748466258,2022Q2
Sant Genís dels Agudells,39,Neighbourhood,720.272631578947,2022Q2
la Bordeta,16,Neighbourhood,1025.00440559441,2022Q2
la Barceloneta,3,Neighbourhood,900.533333333333,2022Q2
el Congrés i els Indians,62,Neighbourhood,784.265903614458,2022Q2
el Poblenou,68,Neighbourhood,1104.19125490196,2022Q3
Ciutat Meridiana,55,Neighbourhood,575.32,2022Q3
la Marina del Prat Vermell - AEI Zona Franca,12,Neighbourhood,1380.0,2022Q3
Sarrià-Sant Gervasi,5,District,1467.6685095057,2022Q3
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1354.93728813559,2022Q3
la Maternitat i Sant Ramon,20,Neighbourhood,1107.23403409091,2022Q3
Porta,45,Neighbourhood,765.71406504065,2022Q3
Provençals del Poblenou,71,Neighbourhood,1059.42718446602,2022Q3
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1252.21260456274,2022Q3
el Besòs i el Maresme,70,Neighbourhood,761.415046728972,2022Q3
la Nova Esquerra de l'Eixample,9,Neighbourhood,1113.93255319149,2022Q3
Horta,43,Neighbourhood,814.13,2022Q3
el Carmel,37,Neighbourhood,753.200843373494,2022Q3
Barcelona,-1,Municipality,1066.67693741121,2022Q3
Sant Andreu,60,Neighbourhood,855.552954545455,2022Q3
les Tres Torres,24,Neighbourhood,1990.2035,2022Q3
les Roquetes,50,Neighbourhood,676.132857142857,2022Q3
el Parc i la Llacuna del Poblenou,66,Neighbourhood,1169.33153846154,2022Q3
la Vila Olímpica del Poblenou,67,Neighbourhood,1499.49446808511,2022Q3
Gràcia,6,District,1031.36105218855,2022Q3
Sant Gervasi - Galvany,26,Neighbourhood,1550.10046770601,2022Q3
la Vila de Gràcia,31,Neighbourhood,1043.41355481728,2022Q3
la Salut,30,Neighbourhood,997.482621359223,2022Q3
el Guinardó,35,Neighbourhood,872.60859437751,2022Q3
el Barri Gòtic,2,Neighbourhood,1111.31247252747,2022Q3
Horta-Guinardó,7,District,844.923995943205,2022Q3
Sarrià,23,Neighbourhood,1541.439,2022Q3
la Teixonera,38,Neighbourhood,810.524567901234,2022Q3
Torre Baró,54,Neighbourhood,552.666666666667,2022Q3
Catalunya,-1,Autonomous Community,805.687124657824,2022Q3
la Guineueta,48,Neighbourhood,816.036962025316,2022Q3
Nou Barris,8,District,748.599634831461,2022Q3
Ciutat Vella,1,District,1009.29229418222,2022Q3
Sant Genís dels Agudells,39,Neighbourhood,759.019230769231,2022Q3
Sant Gervasi - la Bonanova,25,Neighbourhood,1473.11186363636,2022Q3
el Putxet i el Farró,27,Neighbourhood,1149.91296296296,2022Q3
el Coll,29,Neighbourhood,839.943773584906,2022Q3
el Baix Guinardó,33,Neighbourhood,948.739401197605,2022Q3
les Corts,19,Neighbourhood,1203.36434666667,2022Q3
Sant Martí de Provençals,72,Neighbourhood,1158.86379807692,2022Q3
Verdun,51,Neighbourhood,660.101730769231,2022Q3
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,1032.53519163763,2022Q3
la Barceloneta,3,Neighbourhood,922.8925,2022Q3
la Bordeta,16,Neighbourhood,1136.71419191919,2022Q3
Vilapicina i la Torre Llobeta,44,Neighbourhood,838.614846153846,2022Q3
Sant Martí,10,District,1037.25752906977,2022Q3
la Dreta de l'Eixample,7,Neighbourhood,1445.60384439359,2022Q3
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,888.310501672241,2022Q3
el Bon Pastor,59,Neighbourhood,776.763488372093,2022Q3
la Font d'en Fargues,36,Neighbourhood,880.296296296296,2022Q3
la Verneda i la Pau,73,Neighbourhood,775.768965517241,2022Q3
Les Corts,4,District,1255.39061588331,2022Q3
el Camp de l'Arpa del Clot,64,Neighbourhood,916.285071428571,2022Q3
la Prosperitat,52,Neighbourhood,731.261891891892,2022Q3
la Marina de Port,13,Neighbourhood,785.908461538461,2022Q3
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,1364.74636363636,2022Q3
el Clot,65,Neighbourhood,936.363253968254,2022Q3
Hostafrancs,15,Neighbourhood,910.505,2022Q3
Metropolità de Barcelona,-1,Functional Territorial Area,917.911289667828,2022Q3
el Raval,1,Neighbourhood,928.101424802111,2022Q3
Sants,18,Neighbourhood,940.278319559229,2022Q3
Sants-Montjuïc,3,District,944.551167031361,2022Q3
la Trinitat Nova,53,Neighbourhood,661.401818181818,2022Q3
Sant Antoni,10,Neighbourhood,1072.19097484277,2022Q3
Can Baró,34,Neighbourhood,831.851525423729,2022Q3
la Sagrada Família,6,Neighbourhood,1038.72360801782,2022Q3
el Congrés i els Indians,62,Neighbourhood,869.133289473684,2022Q3
Sants - Badal,17,Neighbourhood,930.126315789474,2022Q3
la Sagrera,61,Neighbourhood,850.698124999999,2022Q3
la Trinitat Vella,57,Neighbourhood,668.030303030303,2022Q3
la Font de la Guatlla,14,Neighbourhood,971.944130434783,2022Q3
Montbau,40,Neighbourhood,853.5,2022Q3
el Turó de la Peira,46,Neighbourhood,760.501466666667,2022Q3
Eixample,2,District,1183.08436392915,2022Q3
Pedralbes,21,Neighbourhood,1946.07863636364,2022Q3
Sant Andreu,9,District,846.407924242425,2022Q3
Navas,63,Neighbourhood,890.034778761062,2022Q3
el Fort Pienc,5,Neighbourhood,1118.74299578059,2022Q3
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,1084.89095419847,2022Q3
la Vall d'Hebron,41,Neighbourhood,907.335384615385,2022Q3
Vallcarca i els Penitents,28,Neighbourhood,1073.61286713287,2022Q3
la Marina del Prat Vermell - AEI Zona Franca,12,Neighbourhood,1546.6,2022Q4
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,1059.0351980198,2022Q4
la Guineueta,48,Neighbourhood,825.432380952381,2022Q4
el Barri Gòtic,2,Neighbourhood,1163.25669527897,2022Q4
Barcelona,-1,Municipality,1077.4771366965,2022Q4
Metropolità de Barcelona,-1,Functional Territorial Area,930.241758250195,2022Q4
la Font d'en Fargues,36,Neighbourhood,1013.89807692308,2022Q4
Provençals del Poblenou,71,Neighbourhood,1062.39975409836,2022Q4
el Clot,65,Neighbourhood,935.329509202454,2022Q4
Sant Gervasi - Galvany,26,Neighbourhood,1599.84348729792,2022Q4
Sant Martí de Provençals,72,Neighbourhood,998.030390625,2022Q4
la Nova Esquerra de l'Eixample,9,Neighbourhood,1145.774921875,2022Q4
Gràcia,6,District,1033.77251692047,2022Q4
Vallcarca i els Penitents,28,Neighbourhood,1023.61448275862,2022Q4
la Prosperitat,52,Neighbourhood,779.731304347826,2022Q4
Catalunya,-1,Autonomous Community,814.993983551786,2022Q4
el Parc i la Llacuna del Poblenou,66,Neighbourhood,1168.39329545455,2022Q4
Sant Andreu,9,District,893.549389788294,2022Q4
el Congrés i els Indians,62,Neighbourhood,876.177142857143,2022Q4
la Maternitat i Sant Ramon,20,Neighbourhood,1154.4330075188,2022Q4
Sants-Montjuïc,3,District,988.319438040342,2022Q4
la Vila de Gràcia,31,Neighbourhood,1062.00720848057,2022Q4
el Camp de l'Arpa del Clot,64,Neighbourhood,944.620033112583,2022Q4
el Coll,29,Neighbourhood,816.625,2022Q4
el Poblenou,68,Neighbourhood,1155.31233870968,2022Q4
el Carmel,37,Neighbourhood,754.139772727273,2022Q4
Ciutat Vella,1,District,1035.4476560999,2022Q4
Horta-Guinardó,7,District,865.748338108883,2022Q4
la Vall d'Hebron,41,Neighbourhood,928.674193548387,2022Q4
Pedralbes,21,Neighbourhood,1737.35019607843,2022Q4
Sants - Badal,17,Neighbourhood,933.258608247423,2022Q4
la Verneda i la Pau,73,Neighbourhood,1112.1049122807,2022Q4
Sant Genís dels Agudells,39,Neighbourhood,755.0,2022Q4
Horta,43,Neighbourhood,863.907094594595,2022Q4
la Bordeta,16,Neighbourhood,1245.01604166667,2022Q4
Montbau,40,Neighbourhood,844.975609756098,2022Q4
Vilapicina i la Torre Llobeta,44,Neighbourhood,838.418289473684,2022Q4
Nou Barris,8,District,774.160886699507,2022Q4
la Font de la Guatlla,14,Neighbourhood,988.901639344262,2022Q4
Canyelles,49,Neighbourhood,866.909090909091,2022Q4
les Corts,19,Neighbourhood,1227.19049079755,2022Q4
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,1128.88940740741,2022Q4
Sant Martí,10,District,1073.82888960205,2022Q4
la Vila Olímpica del Poblenou,67,Neighbourhood,1484.29169491525,2022Q4
la Sagrera,61,Neighbourhood,1022.51349557522,2022Q4
el Raval,1,Neighbourhood,929.030133037694,2022Q4
les Roquetes,50,Neighbourhood,711.28323943662,2022Q4
el Baix Guinardó,33,Neighbourhood,954.209771428572,2022Q4
la Teixonera,38,Neighbourhood,788.561060606061,2022Q4
el Fort Pienc,5,Neighbourhood,1119.21556016598,2022Q4
les Tres Torres,24,Neighbourhood,1824.19877777778,2022Q4
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1263.40318363273,2022Q4
el Guinardó,35,Neighbourhood,899.423626760563,2022Q4
el Turó de la Peira,46,Neighbourhood,781.227727272727,2022Q4
Navas,63,Neighbourhood,917.993333333333,2022Q4
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,913.612292358804,2022Q4
Hostafrancs,15,Neighbourhood,935.615691056911,2022Q4
Sarrià,23,Neighbourhood,1443.46061349693,2022Q4
Ciutat Meridiana,55,Neighbourhood,580.113,2022Q4
Sants,18,Neighbourhood,952.190883190883,2022Q4
la Dreta de l'Eixample,7,Neighbourhood,1498.35856666667,2022Q4
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1473.74792682927,2022Q4
el Bon Pastor,59,Neighbourhood,749.101395348837,2022Q4
el Besòs i el Maresme,70,Neighbourhood,780.546666666667,2022Q4
la Barceloneta,3,Neighbourhood,954.821494252874,2022Q4
la Marina de Port,13,Neighbourhood,738.132580645161,2022Q4
la Trinitat Vella,57,Neighbourhood,678.230930232558,2022Q4
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,1135.15,2022Q4
Sant Antoni,10,Neighbourhood,1080.96333333333,2022Q4
la Salut,30,Neighbourhood,940.362792792793,2022Q4
la Sagrada Família,6,Neighbourhood,1071.46485576923,2022Q4
Can Baró,34,Neighbourhood,847.378507462687,2022Q4
Sant Andreu,60,Neighbourhood,840.745714285714,2022Q4
Les Corts,4,District,1259.23245098039,2022Q4
Sant Gervasi - la Bonanova,25,Neighbourhood,1422.49633333333,2022Q4
la Trinitat Nova,53,Neighbourhood,673.168,2022Q4
Eixample,2,District,1210.31234527687,2022Q4
Verdun,51,Neighbourhood,675.83064516129,2022Q4
el Putxet i el Farró,27,Neighbourhood,1151.67705980066,2022Q4
Sarrià-Sant Gervasi,5,District,1446.4061010682,2022Q4
Porta,45,Neighbourhood,808.044458598726,2022Q4
la Sagrada Família,6,Neighbourhood,1067.85615598886,2023Q1
la Font d'en Fargues,36,Neighbourhood,962.074074074074,2023Q1
el Poblenou,68,Neighbourhood,1172.8342875,2023Q1
Sants - Badal,17,Neighbourhood,981.500099403578,2023Q1
el Barri Gòtic,2,Neighbourhood,1279.46138728324,2023Q1
la Salut,30,Neighbourhood,1090.36461971831,2023Q1
Sarrià-Sant Gervasi,5,District,1442.38542747358,2023Q1
el Bon Pastor,59,Neighbourhood,724.887403314917,2023Q1
la Marina de Port,13,Neighbourhood,885.138112582782,2023Q1
la Trinitat Nova,53,Neighbourhood,657.386276595745,2023Q1
Sant Gervasi - la Bonanova,25,Neighbourhood,1511.12620111732,2023Q1
la Vila Olímpica del Poblenou,67,Neighbourhood,1495.54722891566,2023Q1
Provençals del Poblenou,71,Neighbourhood,1161.24225913621,2023Q1
el Camp de l'Arpa del Clot,64,Neighbourhood,982.477136465325,2023Q1
el Guinardó,35,Neighbourhood,913.738340248963,2023Q1
Gràcia,6,District,1117.9604766913,2023Q1
el Turó de la Peira,46,Neighbourhood,712.079864864865,2023Q1
Sant Martí de Provençals,72,Neighbourhood,925.315140186916,2023Q1
la Font d'en Fargues,36,Neighbourhood,1057.51125984252,2023Q1
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1488.094,2023Q1
Can Baró,34,Neighbourhood,890.017005649717,2023Q1
Sant Antoni,10,Neighbourhood,1134.06385321101,2023Q1
Sant Martí,10,District,1101.75200972447,2023Q1
Sant Martí,10,District,1084.25490499648,2023Q1
el Fort Pienc,5,Neighbourhood,1179.54609090909,2023Q1
Canyelles,49,Neighbourhood,822.777777777778,2023Q1
la Bordeta,16,Neighbourhood,1393.87571428572,2023Q1
Barcelona,-1,Municipality,1087.33326483012,2023Q1
la Verneda i la Pau,73,Neighbourhood,1148.44189189189,2023Q1
Horta-Guinardó,7,District,880.863499469777,2023Q1
la Marina del Prat Vermell - AEI Zona Franca,12,Neighbourhood,1388.03571428571,2023Q1
Nou Barris,8,District,762.474601503759,2023Q1
Horta,43,Neighbourhood,895.586781376518,2023Q1
la Trinitat Nova,53,Neighbourhood,625.927,2023Q1
les Roquetes,50,Neighbourhood,734.296425120773,2023Q1
Pedralbes,21,Neighbourhood,1952.00282722513,2023Q1
la Clota,42,Neighbourhood,829.082222222222,2023Q1
Sants - Badal,17,Neighbourhood,926.093943661972,2023Q1
Nou Barris,8,District,796.807494772062,2023Q1
Sarrià,23,Neighbourhood,1528.45470890411,2023Q1
Can Baró,34,Neighbourhood,907.043703703704,2023Q1
Hostafrancs,15,Neighbourhood,945.580894308943,2023Q1
Navas,63,Neighbourhood,974.314352331606,2023Q1
Sant Andreu,60,Neighbourhood,868.796497942387,2023Q1
la Trinitat Vella,57,Neighbourhood,714.322204724409,2023Q1
la Sagrera,61,Neighbourhood,968.213266787658,2023Q1
el Congrés i els Indians,62,Neighbourhood,924.383089430894,2023Q1
Sant Andreu,60,Neighbourhood,910.973460439561,2023Q1
Horta-Guinardó,7,District,915.899725442343,2023Q1
Sants,18,Neighbourhood,1006.75517006803,2023Q1
el Carmel,37,Neighbourhood,759.653085714286,2023Q1
Verdun,51,Neighbourhood,753.348925233645,2023Q1
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,1065.79214814815,2023Q1
la Marina de Port,13,Neighbourhood,850.172065217391,2023Q1
les Tres Torres,24,Neighbourhood,1955.52702205882,2023Q1
Eixample,2,District,1214.47505271084,2023Q1
la Barceloneta,3,Neighbourhood,991.029533898305,2023Q1
la Maternitat i Sant Ramon,20,Neighbourhood,1190.12690909091,2023Q1
Torre Baró,54,Neighbourhood,494.6825,2023Q1
el Clot,65,Neighbourhood,990.459078014184,2023Q1
la Dreta de l'Eixample,7,Neighbourhood,1519.75981081081,2023Q1
la Nova Esquerra de l'Eixample,9,Neighbourhood,1131.202,2023Q1
la Guineueta,48,Neighbourhood,843.226785714286,2023Q1
Sant Gervasi - Galvany,26,Neighbourhood,1696.01116874136,2023Q1
la Vila Olímpica del Poblenou,67,Neighbourhood,1472.37866666667,2023Q1
Sants,18,Neighbourhood,959.120474576271,2023Q1
la Nova Esquerra de l'Eixample,9,Neighbourhood,1177.58609803922,2023Q1
Navas,63,Neighbourhood,920.130392156863,2023Q1
Sants-Montjuïc,3,District,1032.20430865746,2023Q1
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,1255.93548387097,2023Q1
Sant Gervasi - Galvany,26,Neighbourhood,1564.99984375,2023Q1
la Teixonera,38,Neighbourhood,810.69328358209,2023Q1
el Coll,29,Neighbourhood,899.532558139535,2023Q1
el Bon Pastor,59,Neighbourhood,691.394444444444,2023Q1
el Poblenou,68,Neighbourhood,1111.30327433628,2023Q1
Sant Andreu,9,District,910.358141435089,2023Q1
Hostafrancs,15,Neighbourhood,967.862407862408,2023Q1
el Besòs i el Maresme,70,Neighbourhood,807.648526315789,2023Q1
la Vall d'Hebron,41,Neighbourhood,927.024444444445,2023Q1
Sant Antoni,10,Neighbourhood,1061.03641791045,2023Q1
Torre Baró,54,Neighbourhood,491.878333333333,2023Q1
Metropolità de Barcelona,-1,Functional Territorial Area,926.840332040758,2023Q1
la Marina del Prat Vermell - AEI Zona Franca,12,Neighbourhood,1451.0752688172,2023Q1
Sarrià-Sant Gervasi,5,District,1550.7881635285,2023Q1
la Prosperitat,52,Neighbourhood,767.954049586777,2023Q1
Montbau,40,Neighbourhood,896.195083333333,2023Q1
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,1325.18447154472,2023Q1
la Vall d'Hebron,41,Neighbourhood,945.88393442623,2023Q1
Provençals del Poblenou,71,Neighbourhood,1170.53691489362,2023Q1
la Dreta de l'Eixample,7,Neighbourhood,1578.63097754293,2023Q1
el Congrés i els Indians,62,Neighbourhood,864.379240506329,2023Q1
Catalunya,-1,Autonomous Community,812.874116635586,2023Q1
el Parc i la Llacuna del Poblenou,66,Neighbourhood,1238.06898360656,2023Q1
Canyelles,49,Neighbourhood,832.46511627907,2023Q1
Sant Gervasi - la Bonanova,25,Neighbourhood,1507.66644338118,2023Q1
la Vila de Gràcia,31,Neighbourhood,1125.76687254352,2023Q1
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,1138.01558926488,2023Q1
Ciutat Vella,1,District,1054.01654025671,2023Q1
la Vila de Gràcia,31,Neighbourhood,1106.85087890625,2023Q1
Vallcarca i els Penitents,28,Neighbourhood,1137.67375302663,2023Q1
Gràcia,6,District,1091.68686069652,2023Q1
la Salut,30,Neighbourhood,1011.38344444444,2023Q1
Ciutat Vella,1,District,1079.00638469458,2023Q1
el Besòs i el Maresme,70,Neighbourhood,779.66476635514,2023Q1
Porta,45,Neighbourhood,836.490663390663,2023Q1
Vilapicina i la Torre Llobeta,44,Neighbourhood,872.783944954128,2023Q1
el Raval,1,Neighbourhood,946.812913043478,2023Q1
Sants-Montjuïc,3,District,1015.88776033058,2023Q1
la Teixonera,38,Neighbourhood,847.182727272727,2023Q1
el Guinardó,35,Neighbourhood,964.501355529132,2023Q1
les Corts,19,Neighbourhood,1215.76293713163,2023Q1
el Fort Pienc,5,Neighbourhood,1155.84829015544,2023Q1
Verdun,51,Neighbourhood,683.87078125,2023Q1
les Corts,19,Neighbourhood,1102.30096219931,2023Q1
les Tres Torres,24,Neighbourhood,1750.24476190476,2023Q1
Eixample,2,District,1274.96225893326,2023Q1
Horta,43,Neighbourhood,854.75091503268,2023Q1
la Font de la Guatlla,14,Neighbourhood,994.873417721519,2023Q1
Porta,45,Neighbourhood,811.54149122807,2023Q1
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,937.281112398609,2023Q1
Sant Genís dels Agudells,39,Neighbourhood,822.596991150443,2023Q1
Sant Genís dels Agudells,39,Neighbourhood,830.999,2023Q1
Baró de Viver,58,Neighbourhood,699.5,2023Q1
la Prosperitat,52,Neighbourhood,784.911180904523,2023Q1
Vilapicina i la Torre Llobeta,44,Neighbourhood,906.895058823529,2023Q1
Sant Martí de Provençals,72,Neighbourhood,974.240820895522,2023Q1
Montbau,40,Neighbourhood,856.8125,2023Q1
el Raval,1,Neighbourhood,959.502348798674,2023Q1
el Barri Gòtic,2,Neighbourhood,1265.37938110749,2023Q1
el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,1105.0580720339,2023Q1
Les Corts,4,District,1294.1995451789,2023Q1
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,887.107983870968,2023Q1
el Camp de l'Arpa del Clot,64,Neighbourhood,957.059375,2023Q1
el Clot,65,Neighbourhood,1031.80082278481,2023Q1
la Sagrada Família,6,Neighbourhood,1115.10946188341,2023Q1
el Carmel,37,Neighbourhood,776.529622302158,2023Q1
Pedralbes,21,Neighbourhood,1901.018125,2023Q1
el Coll,29,Neighbourhood,922.227106918239,2023Q1
el Parc i la Llacuna del Poblenou,66,Neighbourhood,1210.64583333333,2023Q1
la Maternitat i Sant Ramon,20,Neighbourhood,1105.76316831683,2023Q1
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1281.46304846939,2023Q1
Ciutat Meridiana,55,Neighbourhood,607.845142857143,2023Q1
Sarrià,23,Neighbourhood,1359.0143902439,2023Q1
Barcelona,-1,Municipality,1136.39996086136,2023Q1
l'Antiga Esquerra de l'Eixample,8,Neighbourhood,1352.58627112914,2023Q1
el Baix Guinardó,33,Neighbourhood,1028.55135687732,2023Q1
Vallcarca i els Penitents,28,Neighbourhood,1128.54459677419,2023Q1
Les Corts,4,District,1190.22847727273,2023Q1
el Turó de la Peira,46,Neighbourhood,765.968981818182,2023Q1
la Font de la Guatlla,14,Neighbourhood,1047.20042016807,2023Q1
el Putxet i el Farró,27,Neighbourhood,1194.31611814346,2023Q1
la Trinitat Vella,57,Neighbourhood,692.570714285714,2023Q1
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,991.071428571429,2023Q1
la Bordeta,16,Neighbourhood,1326.18098181818,2023Q1
la Guineueta,48,Neighbourhood,879.959069767442,2023Q1
